response_id ,question_category, user_response_text,confidence_score,tone ,clarity_score,filler_word_count,grammar_errors,sentiment_label,improvement_tips
1,Communication,My biggest strength is adaptability and the ability to learn fast.,7,Positive,9,1,0,Confident,Keep refining your delivery and add real examples where possible.
2,Self Introduction,My biggest strength is adaptability and the ability to learn fast.,7.9,Positive,8,0,1,Optimistic,Keep refining your delivery and add real examples where possible.
3,Strengths,I ensure good communication by summarizing discussions and documenting outcomes.,8.8,Positive,9,1,0,Optimistic,Keep refining your delivery and add real examples where possible.
4,Weaknesses,I led a college team that built a machine learning project within tight deadlines.,9.8,Neutral,6,1,3,Balanced,Keep refining your delivery and add real examples where possible.
5,Strengths,"When things get stressful, I stay calm and focus on breaking work into small steps.",9.5,Positive,9,1,1,Motivated,Keep refining your delivery and add real examples where possible.
6,Leadership,I led a college team that built a machine learning project within tight deadlines.,7.9,Positive,6,2,1,Motivated,Great leadership energy! Try to quantify your team impact.
7,Strengths,My goal is to work on AI projects that make a social or healthcare impact.,6.6,Positive,7,1,0,Motivated,Keep refining your delivery and add real examples where possible.
8,Strengths,My biggest strength is adaptability and the ability to learn fast.,6.8,Positive,9,0,1,Optimistic,Keep refining your delivery and add real examples where possible.
9,Handling Pressure,I tend to overthink small details but I’m learning to focus on the bigger picture.,8.4,Positive,9,3,3,Optimistic,You’re calm under pressure — practice sharing that story more clearly.
10,Conflict Resolution,My biggest strength is adaptability and the ability to learn fast.,9.5,Positive,7,1,1,Composed,Keep refining your delivery and add real examples where possible.
11,Communication,I love working in teams where ideas are shared and improved collaboratively.,6.1,Positive,9,1,0,Professional,Keep refining your delivery and add real examples where possible.
12,Problem Solving,I love working in teams where ideas are shared and improved collaboratively.,6,Neutral,6,1,1,Moderate,Good structure! Add more details about your approach and impact.
13,Teamwork,My biggest strength is adaptability and the ability to learn fast.,7.3,Positive,8,0,2,Professional,You collaborate well — maybe add one clear example of your contribution.
14,Teamwork,I love working in teams where ideas are shared and improved collaboratively.,9.7,Positive,8,0,1,Confident,You collaborate well — maybe add one clear example of your contribution.
15,Leadership,"When things get stressful, I stay calm and focus on breaking work into small steps.",7,Positive,8,0,1,Motivated,Great leadership energy! Try to quantify your team impact.
16,Teamwork,I ensure good communication by summarizing discussions and documenting outcomes.,7.8,Positive,10,2,2,Optimistic,You collaborate well — maybe add one clear example of your contribution.
